接口,作用,实际起什么作用/对接Backend或者前端干了什么
DELETE /api/api-keys/{key_id},删除API密钥,后端:api_keys.delete_api_key；主要调用:-；对接:前端/管理后台
DELETE /api/codex/accounts/{account_id},删除 Codex 账号,后端:codex.delete_codex_account；主要调用:service.delete_account；对接:前端/管理后台
DELETE /api/codex/fallback,清空 CodexCLI 兜底服务配置,后端:codex.delete_codex_fallback_config；主要调用:service.delete_fallback_config；对接:前端/管理后台
DELETE /api/gemini-cli/accounts/{account_id},删除 GeminiCLI 账号,后端:gemini_cli.delete_gemini_cli_account；主要调用:service.delete_account；对接:前端/管理后台
DELETE /api/kiro/accounts/{account_id},删除Kiro账号,后端:kiro.delete_account；主要调用:service.delete_account；对接:前端/管理后台
DELETE /api/plugin-api/accounts/{cookie_id},删除账号,后端:plugin_api.delete_account；主要调用:service.delete_account；对接:前端/管理后台
DELETE /api/qwen/accounts/{account_id},删除 Qwen 账号,后端:qwen.delete_qwen_account；主要调用:service.proxy_request；对接:前端/管理后台
DELETE /api/zai-image/accounts/{account_id},删除 ZAI Image 账号,后端:zai_image.delete_zai_image_account；主要调用:service.delete_account；对接:前端/管理后台
DELETE /api/zai-tts/accounts/{account_id},删除 ZAI TTS 账号,后端:zai_tts.delete_zai_tts_account；主要调用:service.delete_account；对接:前端/管理后台
GET /api/api-keys,获取API密钥列表,后端:api_keys.list_api_keys；主要调用:-；对接:前端/管理后台
GET /api/api-keys/{key_id},获取API密钥详情,后端:api_keys.get_api_key；主要调用:-；对接:前端/管理后台
GET /api/auth/beta-status,获取 Beta 计划状态,后端:auth.get_beta_status；主要调用:user_service.get_user_by_id；对接:前端/管理后台
GET /api/auth/check-username,检查用户名是否存在,后端:auth.check_username；主要调用:user_service.get_user_by_username；对接:前端/管理后台
GET /api/auth/me,获取当前用户信息,后端:auth.get_current_user_info；主要调用:-；对接:前端/管理后台
GET /api/codex/accounts,获取 Codex 账号列表,后端:codex.list_codex_accounts；主要调用:service.list_accounts；对接:前端/管理后台
